OBJECTID;MUNICIPIO;Estado;Região
5363;Santana ; AP;Norte
5364;Chaves ; PA;Norte
5365;Itaubal ; AP;Norte
5366;Pau D'Arco do Piauí ; PI;Nordeste
5367;Presidente Sarney ; MA;Nordeste
5368;São João da Baliza ; RR;Norte
5369;Marapanim ; PA;Norte
5370;Cutias ; AP;Norte
5371;Santa Cruz do Arari ; PA;Norte
5372;Caroebe ; RR;Norte
5373;Tartarugalzinho ; AP;Norte
5374;Amapá ; AP;Norte
5375;Barcelos ; AM;Norte
5376;Óbidos ; PA;Norte
5377;Serra do Navio ; AP;Norte
5378;Laranjal do Jari ; AP;Norte
5379;Oriximiná ; PA;Norte
5380;Almeirim ; PA;Norte
5381;Iracema ; RR;Norte
5382;Cantá ; RR;Norte
5383;Boa Vista ; RR;Norte
5384;Fernando Pedroza ; RN;Nordeste
5385;São Luiz ; RR;Norte
5386;Alto Alegre do Maranhão ; MA;Nordeste
5387;Nova Timboteua ; PA;Norte
5388;Marizópolis ; PB;Nordeste
5389;Ulianópolis ; PA;Norte
5390;Luzilândia ; PI;Nordeste
5391;Caracaraí ; RR;Norte
5392;Pedra Branca do Amapari ; AP;Norte
5393;São Sebastião de Lagoa de Roça ; PB;Nordeste
5394;Passagem ; PB;Nordeste
5395;Pinheiro Machado ; RS;Sul
5396;Primavera ; PA;Norte
5397;São João Batista ; MA;Nordeste
